Sample,Basal.Glyco,Max.Glyco.Cpcty,Glyco.Rsrv.Cpcty,Non.Glyco.Acid.
10A-HF | 30-10-2017,7.10495134299334,33.92151159633869,26.81656025334535,13.319837397980505
10B-HF | 18-12-2017,3.9582813817433014,14.515053195174035,10.556771813430734,6.274942215435461
11-HC | 18-09-2017,11.542947767112299,15.336333838976303,3.7933860718640044,4.353564326407946
11A-HF | 28-11-2017,14.618826846581124,26.126391953319008,11.507565106737886,8.097831018703749
11B-HF | 15-01-2018,9.812115724998774,34.17539762223615,24.36328189723737,15.719331305335738
11B_2-DB2 | 14-01-2019,18.16855932603722,34.297665058954415,16.129105732917196,9.636863125996987
12B-HF | 22-01-2018,8.623737229896756,20.2669355932658,11.643198363369041,7.672020295552747
13A-HF | 26-02-2018,9.159914616230555,18.57090815836268,9.410993542132125,6.098652211571679
13B-HF | 13-04-2018,8.993310173144865,22.346393615528577,13.35308344238371,8.839170916981198
14A-HF | 22-01-2018,9.997748796754154,22.088593784416794,12.090844987662642,10.237384688610147
14B-HF | 12-03-2018,9.223838190560379,18.75943000040231,9.535591809841932,5.227763195906623
15A-HF | 15-01-2018,11.126141472162882,25.95181912501764,14.825677652854758,8.362304852632843
17A-HF | 12-03-2018,5.520033878059788,9.559175254464632,4.039141376404844,3.191467128383513
17B-HF | 30-04-2018,10.126288084141887,23.38433133067949,13.258043246537603,9.923998798992184
18A-HF | 12-02-2018,8.408496494483813,26.943126323595965,18.534629829112152,9.607524447942392
18B-HF | 03-04-2018,11.089099533283298,15.9788470317667,4.889747498483402,3.9041377350612105
19B-HF | 09-04-2018,6.704078791317372,27.326579771162947,20.622500979845576,12.723363195404701
1A-HF | 14-08-2017,28.27619822043617,45.9824938782108,17.706295657774632,9.771830665616676
1B- | 02-10-2017,38.662735116729976,42.6979140560893,4.0351789393593265,11.855650222512569
22A-HF | 09-04-2018,10.114674354643773,20.10016345253875,9.985489097894977,7.5216214930087
22B-HF | 28-05-2018,11.557878877012215,25.307312841832626,13.749433964820412,8.448542811377592
22Bb-HF | 28-05-2018,12.315892607461041,27.22947299891074,14.913580391449699,8.87235859574552
24A-HF | 12-04-2018,10.692398924442438,17.263540104942372,6.571141180499932,4.901814754513323
24B-HF | 04-06-2018,21.8993785940641,47.057009624108275,25.157631030044172,15.110099101715942
25A-HF | 05-03-2018,4.0399326971139295,9.936540700120068,5.896608003006138,3.7361215326176205
25B-HF | 23-04-2018,7.967164485989446,42.06757426970867,34.10040978371923,18.388857554293594
26A-HF | 23-04-2018,0.8643474428303932,28.853769001178932,27.98942155834854,18.821311041126947
26B-HF | 11-06-2018,13.840365400346903,28.246786074916095,14.40642067456919,9.307077278280241
27A-HF | 30-04-2018,3.952845742702582,42.16889908817521,38.21605334547263,27.081126178711255
27B-HF | 18-06-2018,9.249078657256941,45.83040186126999,36.581323204013046,18.348624614117885
27Bb-HF | 18-06-2018,8.782157942763437,43.36235128389162,34.58019334112818,19.119479914980282
29A-HF | 08-05-2018,22.27306515124706,25.278129934915775,3.0050647836687148,6.67683599070941
2B_2-DB2 | 12-02-2018,14.119709786515331,32.32529160606689,18.20558181955156,11.04350967937374
31A-HF | 13-08-2018,18.4085000326626,54.20322002063356,35.79471998797096,23.191044491194127
31Bt-HF | 01-10-2018,12.991578671105684,29.833041938307232,16.841463267201547,12.309061736863756
32A-HF | 15-05-2018,15.568357795962841,30.040709750622263,14.472351954659423,7.957672246644867
32Ab- | 15-05-2018,17.78028316621124,30.40153277941976,12.62124961320852,7.103252144359667
32B-HF | 29-06-2018,14.333724474451975,31.268182842512935,16.934458368060962,9.089825595445637
33A-HF | 20-08-2018,11.164511108221857,24.68423054512862,13.519719436906762,7.561747443305984
33B-HF | 08-10-2018,8.360680861575968,10.686997938013015,2.3263170764370464,0.7599261514414204
34B-HF | 14-11-2018,12.13558865159604,35.49766820725083,23.362079555654795,12.991410345721318
36A-HF | 27-08-2018,15.363021768318223,26.17026887542145,10.807247107103226,7.78767000583995
36B-HF | 15-10-2018,9.615747167894824,20.401811530405293,10.78606436251047,7.465882843838391
39 post-ConBis  | 23-11-2018,20.779081814524822,35.12632115818919,14.34723934366437,12.073091231974962
39A-HF | 15-10-2018,20.96316408222785,32.99376294888775,12.030598866659897,10.262142043559553
3A-HF | 28-08-2017,20.00257417228805,34.39310114960168,14.390526977313627,8.406928305366927
3Ab-HF | 28-08-2017,19.639818947735957,34.17201672264663,14.53219777491067,9.46830268256932
4 post-Conbis  | 13-11-2017,18.14053894455558,48.41967603701752,30.27913709246194,12.522854834329086
40A-HF | 07-01-2019,3.266517835909788,25.258784925396704,21.992267089486916,15.974020138240043
40B-HF | 25-02-2019,14.265599484932903,32.83136940275076,18.565769917817857,16.195062393743136
42B-HF | 19-11-2018,13.033711138930727,18.988311308185253,5.954600169254526,6.180920747476449
43A-HF | 15-10-2018,10.576405191242783,28.16033384895296,17.583928657710175,10.20215265342224
43B-HF | 05-12-2018,9.209015074558664,26.79055951129947,17.581544436740806,12.465926610764683
44A-HF | 29-10-2018,13.5430966593689,28.549004284489026,15.005907625120127,8.710728162892938
46A-HF | 19-11-2018,8.114849660302319,23.574944335547656,15.460094675245337,22.92647382995405
46B-HF | 07-01-2019,10.860790620110897,42.28175145766701,31.420960837556116,17.307822319284135
48 post-ConBis  | 21-12-2018,25.224046821146608,32.82256939215411,7.5985225710075,8.364749349695606
48 pre- | 05-11-2018,14.735449765254433,36.86798401399584,22.1325342487414,9.54823977304719
49A-HF | 05-12-2018,4.750915895544718,19.210737863658682,14.459821968113964,16.06981710462443
49B-HF | 22-01-2019,13.149754847478077,23.6603954829559,10.51064063547782,6.918361006998746
4A-HF | 25-09-2017,9.747434517569872,13.9646065347514,4.217172017181529,12.325133200962306
4Ab-HF | 25-09-2017,10.312054752160101,12.654081129327658,2.3420263771675565,10.956625568321204
50B-HF | 14-01-2019,17.219358804525925,34.61804135924254,17.398682554716615,10.59882941733033
53 post-ConBis   | 20-02-2019,16.088958768462373,30.69845396708674,14.609495198624366,7.37440105129365
53A-HF | 02-01-2019,17.868451882272474,32.33872030461171,14.470268422339238,5.650842775506569
55A-HF | 21-01-2019,25.61291497021821,37.475533496325966,11.862618526107752,12.42848158111477
55B-HF | 25-02-2019,19.15733010869333,53.60794053084735,34.45061042215402,18.571381978896703
5A-HF | 18-09-2017,27.34077172167698,40.99773552692269,13.65696380524571,8.445718407730206
5B-HF | 06-11-2017,17.889366681360787,32.24223351331932,14.35286683195853,8.779087599095423
7A-CHF | 23-11-2017,12.621463075547322,17.76745200696103,5.145988931413708,5.233367590819064
8A-HF | 23-10-2017,44.694862757306225,43.703635261915984,-0.9912274953902411,10.0897920698132
8B-HF | 11-12-2017,8.351732017801691,26.93980475612799,18.5880727383263,12.266668250159789
9A_2-DB2 | 13-08-2018,14.245174382314556,42.99289970395182,28.74772532163727,18.595946107005926
Glycolysis-CONBIS-29POST-29POST | 25-06-2018,11.127301368495008,45.89350782791651,34.7662064594215,12.201793145779323
Glycolysis-DB-26-26 | 06-12-2017,8.571511909414552,16.23383260861838,7.662320699203827,4.830686151730415
Glycolysis-DB-26-26 | 19-02-2018,20.155245489185933,45.66188165970577,25.50663617051984,14.38976453730724
X-HC | 23-10-2017,42.42727599232746,44.35630669424943,1.929030701921974,8.318505830897388
