Sample,log.Basal.Resp,log.ATP.linked.Resp,log.Proton.Leak,log.Spare.Resp.Cpcty,log.Maximal.Resp,log.Non.Mito.Resp
10A_1x-DB2 | 16-Oct-18 ,1.3683041923728476,1.1265978565211485,0.2417063358516991,0.9063191561956883,2.274623348568536,2.4769970594485127
10A_1y-DB2 | 16-Oct-18 ,1.2622259323665168,1.1237523849893711,0.13847354737714568,0.8603620897462263,2.122588022112743,2.5705379867417735
10A_2x-DB2 | 08-Nov-18 ,1.3128483026009587,1.1600606264893911,0.15278767611156763,0.9213046379839613,2.23415294058492,2.6094611817848072
10A_2y-DB2 | 08-Nov-18 ,1.2864988153143817,1.079776304447873,0.20672251086650872,0.9006542612168431,2.187153076531225,2.6391874629013565
10A_3x-DB2 | 20-Nov-18 ,1.3596435357837118,1.2040923122461131,0.15555122353759865,0.9363811973840699,2.2960247331677817,2.5489847942180432
10A_3y-DB2 | 20-Nov-18 ,1.2073810121476978,1.1495129460761864,0.057868066071511404,0.9539591857287686,2.1613401978764664,2.6798598207099964
10A_4x-DB2 | 14-Dec-18 ,1.3569837981794266,1.1615287701827488,0.1954550279966778,0.7099125951433916,2.066896393322818,3.065468350743225
10A_4y-DB2 | 14-Dec-18 ,1.3871961965044637,1.1252188710459397,0.26197732545852404,0.7287973343284513,2.115993530832915,3.0033636620491677
11B_1x-DB2 | 20-Dec-18 ,1.4001618225484767,1.2048496247167844,0.1953121978316923,1.0254854958398463,2.425647318388323,2.4888903312127106
11B_1y-DB2 | 20-Dec-18 ,1.2408433499086167,1.2105736430156488,0.030269706892967818,1.0116383775198736,2.2524817274284903,2.6493669142963023
11B_3x-DB2 | 23-01-2019,1.1432039171148016,1.1907209317962884,-0.047517014681486724,0.9305582557165741,2.0737621728313758,2.623910865110696
11B_3y-DB2 | 23-01-2019,1.1626045906646074,1.1666826660421372,-0.0040780753775297995,0.7892901121741605,1.9518947028387679,2.574513040299312
11B_4x-DB2 | 18-Feb-19 ,1.336934949101006,1.0205652479382574,0.31636970116274865,1.0238369387899322,2.3607718878909383,2.4119953642516636
11B_4y-DB2 | 18-Feb-19 ,1.2247930415560466,1.070177099144352,0.15461594241169463,0.9866605521359126,2.2114535936919593,2.540569109473605
1A_1x-DB2 | 09-10-2017,1.1012432617867796,0.975572695776012,0.12567056601076754,0.752320798469809,1.8535640602565886,2.5739051624187708
1A_1y-DB2 | 09-10-2017,1.0437332314224643,0.9870289322357486,0.05670429918671571,0.8309315331908218,1.8746647646132861,2.616562361735238
1A_2x-DB2 | 03-11-2017,1.407272846458563,1.137366167912376,0.269906678546187,0.8259814464813586,2.2332542929399217,2.1779642988735173
1A_2y-DB2 | 03-11-2017,0.8520448229118753,0.6171031698099476,0.23494165310192772,1.1337509766048477,1.985795799516723,2.149695464750885
1A_3x-DB2 | 14-11-2017,1.1906664358989452,1.1243700241010126,0.06629641179793255,0.8189490107343795,2.0096154466333247,2.6542262737091824
1A_3y-DB2 | 14-11-2017,1.0793216858367494,0.9895313364386826,0.08979034939806674,0.8017830142820941,1.8811047001188435,2.706250939793768
1A_4x-DB2 | 07-12-2017,1.3977563812016802,1.261524172863223,0.13623220833845728,0.933134574252076,2.3308909554537562,2.294181631192335
1A_4y-DB2 | 07-12-2017,1.3754737469657896,1.1541901909103043,0.22128355605548533,0.9726122116485034,2.348085958614293,2.3028989762698604
2B_1x-DB2 | 17-01-2018,1.0812953999453168,1.0187317573920698,0.06256364255324698,0.7497368681918384,1.8310322681371551,2.610470833230482
2B_1y-DB2 | 17-01-2018,1.0445713676994028,1.0395825048050917,0.004988862894311108,0.6929218159853789,1.7374931836847818,2.634134972739014
2B_3x-DB2 | 20-Feb-18 ,1.2153672688999744,1.057376033260725,0.15799123563924944,0.6700411038484804,1.8854083727484547,2.326614069153887
2B_3y-DB2 | 20-Feb-18 ,1.1079081030621674,1.0539748081392815,0.0539332949228859,0.7004335196868583,1.8083416227490257,2.4359734704817186
2B_4x-DB2 | 15-03-2018,1.248116273908848,0.954801491294782,0.29331478261406607,0.7383264493291315,1.9864427232379795,1.880104728252507
2B_4y-DB2 | 15-03-2018,1.1428678965764778,0.8090447559036984,0.3338231406727794,0.628275792674319,1.7711436892507968,1.9925958207084027
3B_1x-DB2 | 31-01-2018,0.7799138236522318,1.0330990187464169,-0.253185195094185,0.878754303716967,1.6586681273691988,2.763474617375721
3B_1y-DB2 | 31-01-2018,-0.09652374177660406,1.0723288845306849,-1.168852626307289,0.8422033522463863,0.7456796104697823,3.6377958048829093
3B_2x-DB2 | 23-Feb-18 ,0.9949588553314985,0.9354726558362794,0.05948619949521916,0.8715469591592031,1.8665058144907016,2.7654121529770466
3B_2y-DB2 | 23-Feb-18 ,1.1020384138461417,0.9460524543952151,0.15598595945092653,0.7198272156391625,1.8218656294853042,2.6333636064428414
3B_3x-DB2 | 07-03-2018,1.2067724399275153,1.0025325677717891,0.20423987215572614,0.920650219058329,2.1274226589858443,2.5893151661802745
3B_3y-DB2 | 07-03-2018,1.1168845746134264,0.9240365885837303,0.1928479860296961,0.900270633992045,2.0171552086054714,2.639311082213851
3B_4x-DB2 | 28-03-2018,1.3599366667110453,1.0792926721143683,0.280643994596677,0.9245122553070311,2.2844489220180764,2.49647092432538
3B_4y-DB2 | 28-03-2018,1.1700394190621584,0.9931708755192687,0.1768685435428896,0.8785648316622998,2.048604250724458,2.696959335329514
4A_1x-DB2 | 09-01-2018,0.9611214900845333,0.9805724703979188,-0.019450980313385546,0.960493191861933,1.9216146819464663,2.2368973631548013
4A_1y-DB2 | 09-01-2018,0.9414964487854851,1.0451700104591186,-0.10367356167363351,0.9206356552710968,1.862132104056582,2.2589109844795887
4A_3x-DB2 | 13-02-2018,1.2101063899914806,1.0849330264096402,0.1251733635818404,0.8286594587132212,2.038765848704702,2.4177459519709457
4A_3y-DB2 | 13-02-2018,1.116925312229316,1.060629309627192,0.05629600260212397,0.7690352101117139,1.8859605223410298,2.507240810387091
4A_4x-DB2 | 09-03-2018,1.2543787591325555,1.0809274083319247,0.1734513508006308,0.891655544151654,2.1460343032842095,2.5307508106785717
4A_4y-DB2 | 09-03-2018,1.11433872906187,1.0648115119599129,0.04952721710195718,0.9615945876924603,2.0759333167543303,2.6757577615916723
5A_1-DB2 | 27-03-2018,1.0977275248689695,1.0373408436508567,0.06038668121811286,0.9908455376822438,2.0885730625512133,2.719584295093692
5A_2x-DB2 | 23-04-2018,1.2651879242221478,1.133645710896487,0.13154221332566074,0.8595432601405872,2.124731184362735,2.714868591101363
5A_2y-DB2 | 23-04-2018,1.1065145780928924,0.9681850249270507,0.13832955316584172,0.8586640935628278,1.9651786716557202,2.907887097367418
5A_3-DB2 | 02-05-2018,1.0731898244297606,0.6192729654963887,0.45391685893337197,-0.022639119633889315,1.0505507047958713,2.8222579514381625
5A_4x-DB2 | 25-05-2018,1.1887578772289693,1.0125741983232857,0.17618367890568365,0.8551781309204358,2.043936008149405,2.844454198684435
5A_4y-DB2 | 25-05-2018,1.2225067023494232,1.011801146141547,0.21070555620787612,0.8654319800540646,2.087938682403488,2.7638349480945283
6G_1-DB2 | 27-03-2018,1.2102451556933165,0.98951651921662,0.2207286364766965,0.9145389965753772,2.1247841522686937,2.6945696418633105
6G_2x-DB2 | 19-04-2018,1.2066968824199504,0.9802958948446778,0.2264009875752726,0.8356841355678304,2.042381017987781,2.934926581182946
6G_2y-DB2 | 19-04-2018,1.1403467693174933,0.9826495388151861,0.15769723050230722,0.8597221949259914,2.000068964243485,2.995944652960403
6G_3-DB2 | 02-05-2018,1.0636206491339384,0.6757276276121154,0.38789302152182303,-0.07910617085154703,0.9845144782823914,2.779546318651503
6G_4x-DB2 | 24-05-2018,1.2198307546948706,1.0694413186853806,0.15038943600948995,0.7945801111142266,2.014410865809097,2.744939098025137
6G_4y-DB2 | 24-05-2018,1.2524052194351842,1.0916818792078669,0.16072334022731738,0.820531148951881,2.072936368387065,2.6885545405876705
7A_2x-DB2 | 17-08-2018,1.1998654677220708,1.0761875354818837,0.12367793224018708,0.7491168485538764,1.9489823162759472,2.241877148166527
7A_2y-DB2 | 17-08-2018,1.3136101462593657,1.0552525160413286,0.25835763021803704,0.8383694710166063,2.151979617275972,2.1135418962044965
7A_3x-DB2 | 29-08-2018,1.1865800492176009,1.0818428186169502,0.10473723060065065,0.8824111270708705,2.0689911762884714,2.6712516679403677
7A_3y-DB2 | 29-08-2018,1.1804548929248804,1.0057531475112191,0.17470174541366124,0.7826023290020192,1.9630572219268996,2.6583906981507934
7A_4x-DB2 | 21-09-2018,1.024866316111674,0.9240984402672137,0.10076787584446034,0.9363787329144309,1.9612450490261049,2.867281460754514
7A_4y-DB2 | 21-09-2018,1.064886475889339,0.8908931579803205,0.1739933179090185,0.7938522647057882,1.8587387405951272,2.857801422481735
9A_1x-DB2 | 02-07-2018,0.8328827366043337,0.7309578347813472,0.10192490182298641,0.5443249740055034,1.377207710609837,2.503289229419413
9A_1y-DB2 | 02-07-2018,0.9724837798923138,0.8404284624742346,0.1320553174180792,0.5572228312952929,1.5297066111876068,2.3039735586784316
9A_3x-DB2 | 23-Aug-18 ,1.354216894639947,1.037684219594948,0.31653267504499905,0.8187419496521819,2.172958844292129,2.510670242397926
9A_3y-DB2 | 23-Aug-18 ,1.2489290640506825,0.9475173731411424,0.3014116909095401,0.8162716665254788,2.0652007305761613,2.6150770419612055
9A_4x-DB2 | 17-Sep-18 ,1.2032296089748997,1.1109771055474904,0.09225250342740932,0.9665418713576797,2.1697714803325794,2.1446435212501425
